285.000;0.241;57.381;0.241
286.000;0.242;57.274;0.242
287.000;0.238;57.757;0.238
288.000;0.242;57.269;0.242
289.000;0.241;57.463;0.241
290.000;0.239;57.628;0.239
291.000;0.240;57.551;0.240
292.000;0.240;57.480;0.240
293.000;0.240;57.545;0.240
294.000;0.238;57.779;0.238
295.000;0.239;57.625;0.239
296.000;0.239;57.666;0.239
297.000;0.238;57.842;0.238
298.000;0.236;58.108;0.236
299.000;0.239;57.641;0.239
300.000;0.236;58.017;0.236
301.000;0.238;57.842;0.238
302.000;0.239;57.642;0.239
303.000;0.238;57.751;0.238
304.000;0.236;58.092;0.236
305.000;0.237;57.954;0.237
306.000;0.236;58.080;0.236
307.000;0.236;58.042;0.236
308.000;0.235;58.168;0.235
309.000;0.235;58.207;0.235
310.000;0.235;58.185;0.235
311.000;0.234;58.393;0.234
312.000;0.234;58.379;0.234
313.000;0.235;58.152;0.235
314.000;0.235;58.245;0.235
315.000;0.235;58.196;0.235
316.000;0.233;58.539;0.233
317.000;0.234;58.291;0.234
318.000;0.234;58.344;0.234
319.000;0.231;58.772;0.231
320.000;0.233;58.426;0.233
321.000;0.233;58.467;0.233
322.000;0.233;58.481;0.233
323.000;0.231;58.796;0.231
324.000;0.233;58.536;0.233
325.000;0.233;58.456;0.233
326.000;0.232;58.618;0.232
327.000;0.231;58.766;0.231
328.000;0.232;58.679;0.232
329.000;0.231;58.777;0.231
330.000;0.232;58.632;0.232
331.000;0.230;58.827;0.230
332.000;0.231;58.805;0.231
333.000;0.228;59.175;0.228
334.000;0.229;59.049;0.229
335.000;0.228;59.115;0.228
336.000;0.228;59.181;0.228
337.000;0.230;58.857;0.230
338.000;0.230;58.821;0.230
339.000;0.229;58.958;0.229
340.000;0.227;59.260;0.227
341.000;0.228;59.104;0.228
342.000;0.225;59.573;0.225
343.000;0.227;59.329;0.227
344.000;0.227;59.255;0.227
345.000;0.227;59.318;0.227
346.000;0.228;59.161;0.228
347.000;0.225;59.581;0.225
348.000;0.226;59.373;0.226
349.000;0.226;59.411;0.226
350.000;0.225;59.570;0.225
351.000;0.225;59.625;0.225
352.000;0.225;59.526;0.225
353.000;0.225;59.589;0.225
354.000;0.223;59.781;0.223
355.000;0.224;59.666;0.224
356.000;0.224;59.682;0.224
357.000;0.223;59.822;0.223
358.000;0.223;59.845;0.223
359.000;0.223;59.883;0.223
360.000;0.222;59.987;0.222
361.000;0.222;59.992;0.222
362.000;0.221;60.124;0.221
363.000;0.221;60.116;0.221
364.000;0.222;60.028;0.222
365.000;0.222;59.995;0.222
366.000;0.220;60.311;0.220
367.000;0.219;60.374;0.219
368.000;0.220;60.270;0.220
369.000;0.218;60.473;0.218
370.000;0.220;60.248;0.220
371.000;0.221;60.168;0.221
372.000;0.218;60.530;0.218
373.000;0.220;60.237;0.220
374.000;0.218;60.465;0.218
375.000;0.218;60.574;0.218
376.000;0.217;60.665;0.217
377.000;0.218;60.528;0.218
378.000;0.218;60.599;0.218
379.000;0.216;60.824;0.216
